model,phase,n_inputs,repeat,time_s
cpu,first_call,10,18,0.686928800016176
cpu,first_call,10,19,0.6657999000162818
cpu,first_call,10,20,0.6882932999869809
cpu,first_call,10,21,0.6577194000128657
cpu,first_call,10,22,0.6854284000000916
cpu,first_call,10,23,0.6737520999740809
cpu,first_call,10,24,0.6811601999797858
cpu,first_call,10,25,0.6966336999903433
cpu,first_call,10,26,0.7241078999941237
cpu,first_call,10,27,0.6898203000309877
cpu,first_call,10,28,0.6833724000025541
cpu,first_call,10,29,0.6673590000136755
cpu,warm,10,0,0.6339485999778844
cpu,warm,10,1,0.6454002999817021
cpu,warm,10,2,0.702561300015077
cpu,warm,10,3,0.6721477000392042
cpu,warm,10,4,0.6172985000303015
cpu,warm,10,5,0.6398120999801904
cpu,warm,10,6,0.6457493000198156
cpu,warm,10,7,0.6398155000060797
cpu,warm,10,8,0.6558572000358254
cpu,warm,10,9,0.6233423000085168
cpu,warm,10,10,0.6688459000433795
cpu,warm,10,11,0.8163415000308305
cpu,warm,10,12,0.6021711000357755
cpu,warm,10,13,0.6296633000019938
cpu,warm,10,14,0.6230406000395305
cpu,warm,10,15,0.6297349000233226
cpu,warm,10,16,0.6172136999666691
cpu,warm,10,17,0.633527200028766
cpu,warm,10,18,0.6214281999855302
cpu,warm,10,19,0.6114193000248633
cpu,warm,10,20,0.6052775999996811
cpu,warm,10,21,0.6407122000236996
cpu,warm,10,22,0.6241834000102244
cpu,warm,10,23,0.6155018000281416
cpu,warm,10,24,0.8378418000065722
cpu,warm,10,25,0.5851909999619238
cpu,warm,10,26,0.6657609000103548
cpu,warm,10,27,0.6186432000249624
cpu,warm,10,28,0.6195185999968089
cpu,warm,10,29,0.6195290999603458
gpu,init,10,0,0.3462135000154376
gpu,init,10,1,0.3273720999713987
gpu,init,10,2,0.3146623999928124
gpu,init,10,3,0.3109178000013344
gpu,init,10,4,0.3152809999883175
gpu,init,10,5,0.3288007999653928
gpu,init,10,6,0.3291468999814242
gpu,init,10,7,0.3209309999947436
gpu,init,10,8,0.3186441999860108
gpu,init,10,9,0.3285650999750942
gpu,init,10,10,0.3062715000123717
gpu,init,10,11,0.31618690001778305
gpu,init,10,12,0.30668739997781813
gpu,init,10,13,0.31548680004198104
gpu,init,10,14,0.34087979997275397
gpu,init,10,15,0.3516032000188716
gpu,init,10,16,0.34089579997817054
gpu,init,10,17,0.33637929998803884
gpu,init,10,18,0.3131165000377223
gpu,init,10,19,0.309865599963814
gpu,init,10,20,0.31262359995162115
gpu,init,10,21,0.3012208999716677
gpu,init,10,22,0.3112863000133075
gpu,init,10,23,0.3030311999609694
gpu,init,10,24,0.30138169997371733
gpu,init,10,25,0.3082698999787681
gpu,init,10,26,0.30510649998905137
gpu,init,10,27,0.31503120000706986
gpu,init,10,28,0.3012421000166796
gpu,init,10,29,0.3069424999994226
gpu,jit,10,0,0.28491099999519065
gpu,jit,10,1,0.27021019998937845
gpu,jit,10,2,0.28183479997096583
gpu,jit,10,3,0.2788730999454856
gpu,jit,10,4,0.28541760001098737
gpu,jit,10,5,0.2880635000183247
gpu,jit,10,6,0.277711599948816
gpu,jit,10,7,0.27755950001301244
gpu,jit,10,8,0.2852359000244178
